Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
65936,8/18/1978,1978,58,6,46.98688,32,104.98688,1129763,852358,47.65212519,-122.571884
65937,3/27/1984,1984,93,6,-24.10236,21,68.89764,1128352,848425,47.64124613,-122.5771861
65984,9/9/1986,1986,240,6,-49.71128,58,190.28872,1132776,868093,47.69545867,-122.5613329
66001,10/5/1979,1979,143,6,122.74804,81,265.74804,1144591,828091,47.58667769,-122.509241
66020,11/30/1988,1988,149,6,1.91864,46,150.91864,1144248,850591,47.64831117,-122.5129567
66047,10/15/1980,1980,69,6,163.93964,71,232.93964,1138876,846845,47.6376683,-122.5343494
66055,10/17/1983,1983,205,6,-44.23884,49,160.76116,1144499,837402,47.61218672,-122.5105752
66065,6/5/1978,1978,77,6,110.00788,57,187.00788,1135010,875283,47.71532017,-122.5530253
66072,2/7/1982,1982,120,6,83.41208,62,203.41208,1145428,846659,47.63761876,-122.5077656
66074,6/10/1988,1988,159,6,175.64568,102,334.64568,1143228,862527,47.68094751,-122.5183319
66084,12/31/1986,1986,44,6,106.91864,46,150.91864,1131162,856302,47.66303323,-122.5666296
66087,4/7/1978,1978,50,6,9.05512,18,59.05512,1133969,862796,47.68102921,-122.5559303
66121,2/4/1992,1992,71,6,-11.94488,18,59.05512,1133969,862796,47.68102921,-122.5559303
66136,3/7/1986,1986,377,6,-114.5328,80,262.4672,1137941,836945,47.61047319,-122.5371034
66168,9/12/1989,1989,212,6,207.94752,128,419.94752,1129401,843098,47.62672444,-122.5723652
66177,10/24/1984,1984,117,6,66.72704,56,183.72704,1137526,845573,47.6340871,-122.5396895
66193,6/30/1992,1992,53,6,6.05512,18,59.05512,1138776,842882,47.62680146,-122.5343404
66195,4/13/1991,1991,257,6,-125.7664,40,131.2336,1135366,866703,47.69183484,-122.550674
66208,10/2/1979,1979,82,6,32.8294,35,114.8294,1132355,850981,47.64853801,-122.5612263
66246,7/18/1973,1973,93,6,74.32284,51,167.32284,1132749,866768,47.69182599,-122.5613019
66247,11/11/1986,1986,104,6,-104,0,0,1128704,860305,47.67382532,-122.5770276
66262,11/6/1978,1978,44,6,244.71392,88,288.71392,1130281,845730,47.63400012,-122.569078
66270,8/24/1978,1978,158,6,-131.75328,8,26.24672,1140090,869863,47.70082893,-122.5318319
66293,4/13/1979,1979,180,6,-52.04724,39,127.95276,1142931,850651,47.64838335,-122.5183037
66301,10/15/1982,1982,98,6,95.56956,59,193.56956,1133629,848309,47.64130719,-122.5557775
66315,8/5/1986,1986,123,6,34.48032,48,157.48032,1132659,862815,47.68098757,-122.5612478
66338,7/16/1979,1979,245,6,66.6798,95,311.6798,1137256,836304,47.60866812,-122.5398121
66339,5/15/1992,1992,71,6,43.8294,35,114.8294,1127169,853731,47.65570028,-122.5825508
66340,9/3/1985,1985,62,6,233.2756,90,295.2756,1134151,870710,47.70272807,-122.556029
66348,2/16/1987,1987,245,6,-113.7664,40,131.2336,1135366,866703,47.69183484,-122.550674
66374,8/4/1989,1989,230,6,-230,0,0,1124547,855094,47.65924495,-122.5933316
66455,4/9/1985,1985,65,6,23.58268,27,88.58268,1128921,833874,47.60141352,-122.5733278
66461,4/14/1979,1979,70,6,113.72704,56,183.72704,1142004,867831,47.6953957,-122.5238509
66476,8/4/1978,1978,109,6,18.95276,39,127.95276,1138185,871900,47.70627594,-122.5397786
66479,4/21/1981,1981,105,6,190.2756,90,295.2756,1133479,841699,47.62318328,-122.555687
66480,6/28/1979,1979,195,6,-73.60892,37,121.39108,1146727,846636,47.63764624,-122.5024965
66482,5/14/1993,1993,3,6,174.16536,54,177.16536,1144049,844048,47.63036747,-122.5130864
66498,7/11/1980,1980,294,8,-54.49868,73,239.50132,1134802,841673,47.62320642,-122.5503218
66546,5/15/1987,1987,63,6,68.2336,40,131.2336,1127151,852411,47.65208189,-122.5824825
66548,3/11/1989,1989,420,6,-334.69816,26,85.30184,1133939,860201,47.67391623,-122.5557775
66573,8/14/1987,1987,87,6,-14.82152,22,72.17848,1128889,832512,47.59767892,-122.5733124
66585,4/10/1984,1984,68,6,109.16536,54,177.16536,1128952,835235,47.60514529,-122.5733472
66610,7/18/1979,1979,51,6,152.41208,62,203.41208,1145428,846659,47.63761876,-122.5077656
66637,8/10/1982,1982,117,6,201.24148,97,318.24148,1139399,833579,47.6013523,-122.5308438
66647,10/11/1980,1980,60,,-0.94488,18,59.05512,1133969,862796,47.68102921,-122.5559303
66648,10/25/1989,1989,71,6,181.62468,77,252.62468,1135518,871990,47.70633302,-122.550615
66679,4/6/1990,1990,18,38,126.35696,44,144.35696,1136757,833668,47.60140925,-122.5415576
66688,6/27/1980,1980,163,6,106.02888,82,269.02888,1132225,844365,47.63039916,-122.5610522
