Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1135001,850934,47.648598246999995,-122.550491223,12/11/1985,220.0,6.0,61750,W,47.648598246999995,99,-122.550491223,324.80316,104.80315999999999
1,1140321,852087,47.652134846,-122.529037649,2/21/1991,103.0,6.0,61758,W,47.652134846,25,-122.529037649,82.021,-20.979
1,1127189,855052,47.659321543999994,-122.58261121700001,8/31/1979,148.0,6.0,61764,W,47.659321543999994,47,-122.58261121700001,154.19948,6.199479999999994
1,1129401,843098,47.626724436,-122.57236517700001,2/28/1979,113.0,6.0,61773,W,47.626724436,128,-122.57236517700001,419.94752,306.94752
1,1137555,846897,47.637717292,-122.539710738,4/17/1976,72.0,6.0,61780,W,47.637717292,67,-122.539710738,219.81628,147.81628
1,1136964,874557,47.713469933999995,-122.54501507,4/29/1983,196.0,6.0,61799,W,47.713469933999995,31,-122.54501507,101.70604,-94.29396
1,1130970,847035,47.637625662,-122.566423378,8/22/1983,138.0,6.0,61830,W,47.637625662,15,-122.566423378,49.2126,-88.78739999999999
1,1128921,833874,47.601413515,-122.57332782799999,10/31/1990,53.0,6.0,61841,W,47.601413515,27,-122.57332782799999,88.58268,35.582679999999996
1,1130970,847035,47.637625662,-122.566423378,6/23/1989,80.0,6.0,61848,W,47.637625662,15,-122.566423378,49.2126,-30.787399999999998
1,1134087,868058,47.695456543,-122.556008152,8/8/1979,162.0,6.0,61854,W,47.695456543,53,-122.556008152,173.88452,11.884520000000009
1,1147043,857151,47.666482396000006,-122.502297732,12/23/1994,22.0,36.0,61872,W,47.666482396000006,0,-122.502297732,0.0,-22.0
1,1134802,841673,47.623206416,-122.550321778,8/24/1977,85.0,6.0,61887,W,47.623206416,73,-122.550321778,239.50132,154.50132
1,1133838,857570,47.666699496999996,-122.55590899799999,3/9/1979,38.0,6.0,61889,W,47.666699496999996,50,-122.55590899799999,164.042,126.042
