Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd
1,1134765,840350,47.619578374,-122.550332325,10/20/1992,100,6,63070,W
1,1127262,857689,47.666552747,-122.582597594,2/24/1984,202,6,63095,W
1,1135001,850934,47.648598247,-122.550491223,4/26/1989,209,6,63099,W
1,1138045,832300,47.597751730,-122.536195961,3/21/1990,59,6,63102,W
1,1145981,869077,47.699088588,-122.507837653,2/17/1984,46,6,63130,W
1,1131106,843067,47.626762065,-122.56545062,6/16/1986,425,6,63136,W
1,1143799,835923,47.608084821,-122.513258956,11/9/1979,153,6,63140,W
1,1141278,837490,47.612202102,-122.523637413,6/13/1980,181,6,63161,W
1,1127075,851104,47.648494916,-122.582650695,10/24/1987,108,6,63183,W
1,1125869,855073,47.659283440,-122.587967362,4/6/1979,78,6,63187,W
1,1141278,837490,47.612202102,-122.523637413,5/23/1984,180,6,63198,W
1,1142789,845383,47.633937524,-122.518332762,5/22/1979,77,6,63236,W
1,1129402,841775,47.623099136,-122.572220201,12/24/1992,157,6,63247,W
1,1132355,850981,47.648538012,-122.561226257,5/18/1990,38,6,63252,W
1,1132821,870755,47.702756233,-122.561432699,9/8/1980,65,6,63293,W
1,1137526,845573,47.634087104,-122.539689472,1/21/1980,97,6,63297,W
1,1137555,846897,47.637717292,-122.539710738,12/1/1978,74,6,63330,W
1,1141323,838801,47.615797833,-122.523591381,1/18/1990,62,6,63357,W
1,1133511,843020,47.626805477,-122.555696880,9/26/1994,93,6,63391,W
1,1133511,843020,47.626805477,-122.555696880,2/4/1994,96,6,63392,W
1,1140727,869187,47.699021501,-122.529175576,5/13/1988,536,6,63420,W
1,1137616,849549,47.644988821,-122.539741533,6/21/1979,100,6,63424,W
1,1129999,860283,47.673858378,-122.571771269,5/23/1990,111,6,63425,W
1,1135440,869343,47.699074214,-122.550652248,3/11/1992,99,6,63449,W
1,1135446,833706,47.601420252,-122.546873275,6/24/1991,22,36,63466,W
1,1132697,861549,47.677521197,-122.560959395,8/8/1985,92,6,63468,W
1,1143293,866485,47.691797898,-122.518479213,4/13/1981,50,6,63542,W
1,1142521,836921,47.610730152,-122.518541149,6/28/1990,175,6,63566,W
1,1136760,869303,47.699058541,-122.545290074,3/25/1993,60,6,63571,W
1,1132749,866768,47.691825994,-122.561301921,8/3/1978,65,6,63579,W
1,1135366,866703,47.691834844,-122.550673958,5/1/1984,236,6,63633,W
1,1141278,837490,47.612202102,-122.523637413,3/5/1987,190,6,63669,W
1,1135366,866703,47.691834844,-122.550673958,6/12/1992,311,6,63713,W
1,1128861,831151,47.593947350,-122.573280867,10/29/1990,50,6,63748,W
1,1129999,860283,47.673858378,-122.571771269,8/4/1981,101,6,63754,W
1,1131959,865610,47.688596233,-122.564385093,8/6/1985,125,6,63757,W
1,1129402,841775,47.623099136,-122.572220201,6/11/1979,62,6,63774,W
1,1139948,864609,47.686421855,-122.531858809,11/21/1973,132,6,63787,W
1,1139948,864609,47.686421855,-122.531858809,5/27/1975,134,6,63788,W
1,1144825,848623,47.642958611,-122.510413382,4/18/1973,134,6,63804,W
1,1135480,835027,47.605042631,-122.546874442,12/7/1978,119,6,63833,W
1,1140680,867871,47.695412077,-122.529228898,10/31/1988,546,6,63905,W
1,1128374,849749,47.644875791,-122.577238293,12/7/1988,65,6,63910,W
1,1138030,867946,47.695430241,-122.539992568,8/6/1975,307,6,63913,W
1,1139051,854780,47.659424705,-122.534469897,4/30/1989,170,6,63916,W
1,1133605,846985,47.637677369,-122.555734828,6/12/1977,56,6,63929,W
1,1137013,875860,47.717043851,-122.544953311,9/2/1977,172,6,63940,W
1,1132821,870755,47.702756233,-122.561432699,7/23/1980,64,6,63942,W
1,1128704,860305,47.673825316,-122.577027563,5/9/1978,200,6,63944,W
1,1134947,848285,47.641335453,-122.550430893,11/14/1988,151,6,63947,W
1,1138998,852142,47.652192157,-122.534408833,8/31/1983,183,6,63983,W
1,1129790,853680,47.655749711,-122.571915354,4/20/1990,50,6,63998,W
1,1129883,857645,47.666621367,-122.571960688,10/25/1983,100,6,64014,W
1,1131162,856302,47.663033225,-122.566629573,7/5/1990,327,6,64018,W
1,1125887,856392,47.662899073,-122.588036009,8/11/1977,76,6,64059,W
1,1127207,856371,47.66293718,-122.582679500,9/12/1980,65,6,64104,W
1,1138030,867946,47.695430241,-122.539992568,1/8/1992,406,6,64105,W
1,1147994,845308,47.634095146,-122.497223122,6/4/1987,161,6,64116,W
1,1142004,867831,47.695395703,-122.523850864,10/6/1974,79,6,64173,W
1,1142004,867831,47.695395703,-122.523850864,4/5/1988,98,6,64174,W
1,1145474,847948,47.641154217,-122.507712109,2/4/1988,209,6,64188,W
1,1144208,849288,47.644737776,-122.512984044,6/2/1989,130,6,64190,W
1,1128480,853706,47.655726521,-122.577231125,7/13/1974,54,6,64195,W
1,1135279,861483,47.677524782,-122.550476190,5/14/1985,35,6,64203,W
1,1145102,836890,47.610825773,-122.508078735,7/1/1990,136,6,64239,W
1,1128352,848425,47.641246129,-122.577186086,10/18/1983,45,6,64277,W
1,1128573,857667,47.666587214,-122.577277116,3/25/1983,227,6,64287,W
1,1142525,837883,47.613366632,-122.518624730,12/16/1977,133,8,64311,W
1,1140001,838854,47.615849985,-122.528954639,1/16/1988,323,6,64371,W
1,1129402,841775,47.623099136,-122.572220201,1/24/1991,88,6,64376,W
1,1127151,852411,47.652081886,-122.582482467,7/24/1992,216,6,64377,W
1,1139505,871860,47.706259769,-122.534415670,9/20/1989,266,,64378,W
1,1137938,864026,47.684682113,-122.539954400,4/29/1990,168,6,64384,W
1,1128332,847099,47.637611124,-122.577125564,10/17/1983,145,6,64387,W
1,1128332,847099,47.637611124,-122.577125564,8/23/1978,151,6,64388,W
1,1147008,855837,47.662879240,-122.502304372,9/2/1986,176,6,64389,W
1,1140046,840168,47.619453932,-122.528909275,10/4/1985,145,6,64396,W
1,1140046,840168,47.619453932,-122.528909275,11/30/1989,99,6,64400,W
1,1128573,857667,47.666587214,-122.577277116,12/17/1986,198,6,64427,W
1,1138134,870583,47.702663502,-122.539847308,10/5/1987,285,6,64428,W
1,1141946,865200,47.688182111,-122.523812221,2/29/1988,193,6,64450,W
1,1142931,850651,47.648383346,-122.518303683,7/14/1977,88,6,64451,W
1,1128232,833209,47.599541544,-122.576048443,4/14/1978,74,6,64466,W
1,1139024,853461,47.655808399,-122.534441391,2/22/1979,61,6,64475,W
1,1130992,848359,47.641255336,-122.566474848,10/11/1983,106,6,64495,W
1,1132334,849657,47.644908421,-122.561171082,6/29/1987,77,6,64547,W
1,1135645,874608,47.713515832,-122.550375797,12/8/1980,186,6,64548,W
1,1131469,868139,47.695490979,-122.566642597,7/15/1988,103,6,64566,W
1,1135744,877212,47.720658257,-122.550248718,5/2/1983,126,6,64592,W
1,1129817,855002,47.659374228,-122.571946723,7/23/1991,87,6,64603,W
1,1136617,864058,47.684676038,-122.545318341,5/21/1979,73,6,64620,W
1,1131068,852330,47.652142294,-122.566588641,5/16/1983,70,6,64629,W
1,1129401,843098,47.626724436,-122.572365177,8/5/1992,143,6,64630,W
1,1132480,856277,47.663059246,-122.561280724,3/20/1978,98,6,64633,W
1,1127075,851104,47.648494916,-122.582650695,1/2/1991,136,6,64641,W
1,1129322,859623,47.672001077,-122.574447489,12/1/1978,144,6,64643,W
1,1128921,833874,47.601413515,-122.573327828,10/12/1988,80,6,64656,W
1,1132697,861549,47.677521197,-122.560959395,6/23/1988,54,6,64686,W
1,1132749,866768,47.691825994,-122.561301921,10/2/1978,70,6,64693,W
1,1133969,862796,47.681029214,-122.555930283,10/30/1973,51,6,64710,W
1,1145865,862454,47.680931923,-122.507624106,2/1/1984,59,4,64715,W
1,1145865,862454,47.680931923,-122.507624106,6/7/1984,61,4,64716,W
1,1144049,844048,47.630367469,-122.513086376,8/28/1981,127,6,64732,W
1,1140321,852087,47.652134846,-122.529037649,4/8/1981,124,6,64759,W
1,1140404,856044,47.662983910,-122.529113961,6/2/1988,215,6,64765,W
1,1128374,849749,47.644875791,-122.577238293,10/6/1980,134,6,64797,W
1,1134118,869384,47.699092238,-122.556022649,8/19/1991,164,6,64806,W
1,1130265,844405,47.630368128,-122.569001934,4/18/1987,76,6,64810,W
1,1138078,833624,47.601382266,-122.536200768,8/1/1990,115,45,64820,W
1,1136673,866670,47.691837429,-122.545366011,3/26/1990,287,6,64825,W
1,1135366,866703,47.691834844,-122.550673958,8/31/1987,254,6,64828,W
1,1144715,871734,47.706280891,-122.513251819,5/24/1978,187,6,64846,W
1,1130239,840442,47.619506571,-122.568685897,1/13/1993,70,6,64866,W
1,1134118,869384,47.699092238,-122.556022649,3/13/1985,150,6,64896,W
1,1133003,874709,47.713603864,-122.561113412,7/22/1992,168,6,64916,W
1,1137555,846897,47.637717292,-122.539710738,7/22/1978,82,6,64922,W
1,1140046,840168,47.619453932,-122.528909275,10/2/1990,120,6,64924,W
1,1129401,843098,47.626724436,-122.572365177,2/22/1989,138,6,64979,W
1,1141366,840112,47.619393416,-122.523553450,1/24/1984,124,6,65004,W
1,1138810,844201,47.630418316,-122.534340479,12/13/1988,113,6,65010,W
1,1134863,844314,47.630447851,-122.550352853,3/28/1980,136,6,65069,W
1,1135518,871990,47.706333024,-122.550615032,3/12/1979,303,6,65109,W
1,1135028,852258,47.652228263,-122.550521342,5/11/1979,236,6,65158,W
1,1127189,855052,47.659321544,-122.582611217,6/6/1978,85,6,65179,W
1,1141235,836178,47.608603766,-122.523675230,6/2/1978,360,6,65227,W
1,1135194,858855,47.670317430,-122.550543807,11/29/1983,202,6,65249,W
1,1128332,847099,47.637611124,-122.577125564,8/22/1979,138,6,65259,W
1,1141278,837490,47.612202102,-122.523637413,12/2/1975,106,6,65260,W
1,1146393,836871,47.610863675,-122.502845127,7/5/1988,160,6,65273,W
1,1137306,837631,47.612308063,-122.539748559,6/14/1988,371,6,65357,W
1,1140776,870504,47.702633800,-122.529114233,1/25/1986,230,6,65377,W
1,1131106,843067,47.626762065,-122.56545062,7/26/1991,80,6,65378,W
1,1131162,856302,47.663033225,-122.566629573,3/13/1984,38,6,65413,W
1,1128395,851072,47.648502634,-122.577294455,6/20/1986,92,6,65450,W
1,1136806,870624,47.702681596,-122.545242423,1/8/1981,546,6,65482,W
1,1135411,832385,47.597797795,-122.546876160,4/7/1988,49,6,65494,W
1,1136237,846936,47.637730623,-122.545058526,4/5/1991,169,6,65497,W
1,1133336,836416,47.608696094,-122.555708416,11/28/1990,480,6,65499,W
