well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
70019,229,6,6/24/1991,W,1142514,924709,47.85128285,-122.5277169
70021,205,6,10/20/1981,W,1109282,834392,47.60139087,-122.6529522
70024,134,6,3/27/1991,W,1107517,905698,47.79664253,-122.6680457
70025,135,6,2/24/1992,W,1128635,906617,47.80071992,-122.5822688
70028,135,6,10/28/1988,W,1144049,844048,47.63036747,-122.5130864
70030,60,6,9/18/1989,W,1126445,811320,47.5394293,-122.5809482
70034,91,6,5/8/1984,W,1092677,849335,47.64107498,-122.7219313
70035,189,6,1/8/1993,W,1142514,924709,47.85128285,-122.5277169
70036,129,6,6/9/1977,W,1104432,849119,47.64138096,-122.6742469
70037,118,6,2/21/1990,W,1132480,856277,47.66305925,-122.5612807
70047,113,6,2/16/1978,W,1126277,870992,47.70293388,-122.5880221
70049,118,6,9/24/1990,W,1122794,888167,47.74974148,-122.6040208
70050,42,6,4/20/1993,W,1131106,843067,47.62676206,-122.5654506
70051,30,6,3/2/1984,W,1133988,861517,47.67752585,-122.5557179
70052,92,8,10/16/1974,W,1111643,913539,47.81843593,-122.6521381
70055,101,6,8/20/1974,W,1086028,846919,47.63393847,-122.7486095
70063,167,6,1/12/1977,W,1078405,855109,47.65577969,-122.7804715
70069,156,6,6/14/1977,W,1154689,888527,47.75298792,-122.4744672
70070,346,6,5/26/1982,W,1135549,937570,47.8860269,-122.5574351
70075,149,6,11/15/1990,W,1083268,841703,47.61943,-122.7591922
70076,110,6,4/4/1986,W,1065221,851485,47.64479304,-122.8335024
70078,303,6,8/28/1991,W,1145511,935133,47.88005477,-122.516602
70079,168,6,5/19/1992,W,1128900,804587,47.52115534,-122.5702977
70102,246,6,10/11/1993,W,1146826,849196,47.64466831,-122.5023586
70103,253,6,9/13/1985,W,1131866,864291,47.68497525,-122.5646224
70105,165,6,12/27/1991,W,1056890,807317,47.52309077,-122.8619162
70107,100,6,5/20/1990,W,1082214,851016,47.64486548,-122.7645476
70109,273,6,8/16/1985,W,1059715,808554,47.5267116,-122.8506376
70111,76,6,10/27/1987,W,1103199,851816,47.64867785,-122.6795483
70114,75,6,2/16/1989,W,1111935,875350,47.71382009,-122.646721
70118,286,6,3/20/1978,W,1105550,879582,47.72493679,-122.6731177
70139,135,6,2/9/1988,W,1129883,857645,47.66662137,-122.5719607
70141,139,6,3/28/1992,W,1127075,851104,47.64849492,-122.5826507
70142,131,6,7/8/1988,W,1079406,806239,47.52194921,-122.770705
70153,378,6,5/18/1974,W,1109310,874125,47.71026722,-122.6572426
70157,87,6,3/24/1988,W,1112970,866077,47.68848831,-122.6414965
70159,180,6,7/7/1983,W,1121195,877676,47.72087825,-122.6093771
70160,203,6,5/10/1984,W,1141270,927433,47.85865877,-122.5330668
70161,353,6,10/13/1980,W,1049631,818005,47.55177712,-122.8925921
70162,60,6,4/5/1982,W,1080555,839139,47.61219091,-122.769888
70163,141,6,11/28/1979,W,1141162,943365,47.90230366,-122.5351804
70166,197,6,10/19/1979,W,1066459,810873,47.53361368,-122.8236307
70169,126,6,9/18/1995,W,1071756,852575,47.64830653,-122.8071352
70170,98,6,1/15/1973,W,1102491,849853,47.64324531,-122.682199
70171,98,6,1/15/1973,W,1071756,852575,47.64830653,-122.8071352
70183,21,6,3/18/1990,W,1066519,812194,47.53723825,-122.8235454
70188,71,6,1/21/1976,W,1123045,896140,47.77160621,-122.6038652
70193,156,6,9/7/1983,W,1109604,844970,47.63040084,-122.6528177
70199,135,6,11/9/1988,W,1122333,832542,47.59728577,-122.5998758
70202,85,6,3/5/1979,W,1123082,898755,47.77877408,-122.6039984
70203,127,6,5/23/1988,W,1141173,944666,47.90586903,-122.5352724
70206,152,6,3/14/1981,W,1128395,851072,47.64850263,-122.5772945
70209,50,6,6/9/1983,W,1129150,854358,47.65756147,-122.5745834
70210,229,6,6/11/1984,W,1126484,877574,47.72098444,-122.5878893
70219,22,36,10/23/1992,W,1111348,900338,47.78224391,-122.6518727
70220,132,6,5/29/1980,W,1128818,913204,47.81878149,-122.5822319
70224,190,6,3/1/1985,W,1041526,830267,47.58469643,-122.9269231
70226,58,6,7/8/1986,W,1144167,847987,47.64116978,-122.5130156
70227,67,6,3/3/1983,W,1129883,857645,47.66662137,-122.5719607
70234,46,6,5/21/1981,W,1154837,892472,47.76380803,-122.4742672
70236,222,6,9/6/1977,W,1126789,820493,47.56459145,-122.5805355
70237,98,6,9/18/1991,W,1096743,855899,47.6593738,-122.7061906
70239,130,6,7/6/1998,W,1054577,826007,47.57411252,-122.8735486
70246,85,6,12/13/1985,W,1129375,819102,47.56096611,-122.5699174
